Compound Name,Mechanism of Action
Lupron,Mechanism of Action section not found
Luspatercept,Drug not found in PubChem
Luteinizing Hormone-Releasing Hormone (LHRH) analog,Drug not found in PubChem
Luteinizing hormone-releasing hormone (LHRH) analogue,Drug not found in PubChem
Lutetium (177Lu) DGUL,Drug not found in PubChem
Lutetium (177Lu) vipivotide tetraxetan,Mechanism of Action section not found
Lutetium Lu 177 Dotatate,"Somatostatin receptors (SSRT) are inhibitory G-protein coupled receptors that are ubiquitously expressed in normal and cancer cells. The natural ligand of SSRTs, somatostatin, is a potent inhibitory regulator of pituitary and gastrointestinal hormone release and proliferation. Advanced and well-differentiated neuroendocrine tumors express high levels of somatostatin receptors, especially somatostatin recetor type 2 (SSRT2), and have the ability to incorporate amines intracellularly and decarboxylate them.   As an analogue of somatostatin, Lutetium Lu 177 dotatate binds to somatostatin receptor with highest binding affinity for SSRT2. Upon binding to SSRT-expressing cells, including malignant somatostatin receptor-positive tumors, the radiolabelled compound is internalized and the beta emission from the radioligand Lu 177 induces cellular damage by formation of free radicals in somatostatin receptor-positive cells and in neighboring cells. As with other somatostatin analogues, Lu177 dotatate is expected to suppress excessive secretion of amines and hormones, such as serotonin, from carcinoid tumors and certain types of endocrine pancreatic tumors (glucagonoma, VIPoma and gastrinoma). The release of peptides and other gastrointestinal hormones important in tumor growth, including gastrin, cholecystokinin and epidermal growth factor (EGF), may also be reduced through promoted somtatostatin signalling pathways."
Lutetium Lu 177 Vipivotide Tetraxetan,Drug not found in PubChem
Lutetium [177Lu] BL-ARC001,Drug not found in PubChem
Lutetium Lu 177-Edotreotide,Mechanism of Action section not found
Lymphodepleting chemotherapy,Drug not found in PubChem
Luvometinib,Mechanism of Action section not found
Lymphodepletion,Drug not found in PubChem
M-CENK,Drug not found in PubChem
M3T01,Drug not found in PubChem
M9140,Drug not found in PubChem
M9446,Drug not found in PubChem
M9466,Drug not found in PubChem
MAPK inhibitors,Drug not found in PubChem
MB0151 for,Drug not found in PubChem
MB-CART2019.1,Drug not found in PubChem
MCLA-129,Drug not found in PubChem
MDX2004,Drug not found in PubChem
MEDI5752,Drug not found in PubChem
MEDI4736,Drug not found in PubChem
METR-NK cells combined with Solvatinib,Drug not found in PubChem
MEN2501,Drug not found in PubChem
MHB036C for,Drug not found in PubChem
MHB039A for,Drug not found in PubChem
MHB042C for,Drug not found in PubChem
MHB046C,Drug not found in PubChem
MHB088C for,Drug not found in PubChem
MHB048C for,Drug not found in PubChem
MHB118C for,Drug not found in PubChem
MIRV,Drug not found in PubChem
MK-4716,Drug not found in PubChem
MK-1084,Mechanism of Action section not found
MK-8294,Drug not found in PubChem
MK-5684,Mechanism of Action section not found
MM,Drug not found in PubChem
MMF Immunosuppression,Drug not found in PubChem
MMC,"Mitomycin is activated in vivo to a bifunctional and trifunctional alkylating agent. Binding to DNA leads to cross-linking and inhibition of DNA synthesis and function. Mitomycin is cell cycle phase-nonspecific.

... REACTS WITH BACTERIAL DNA BUT NOT WITH ISOLATED DNA, UNLESS ... REDUCING SYSTEM IS ADDED. CROSS LINKING EFFICIENCY ... INCR IN ISOLATED BACTERIAL DNA CONTAINING INCR AMT OF CYTOSINE & GUANOSINE.

ITS REDUCED FORM CONTAINS INDOLE GROUP EMBODYING ALLYLIC CARBAMATE RESIDUE. ANTIBIOTIC IS CYTOTOXIC & CARCINOGENIC BUT IS INACTIVE AS CYTOTOXIC AGENT UNLESS REDUCED ... IT ACTS AS DIFUNCTIONAL AGENT IN CROSS LINKING DNA.

The drug inhibits DNA synthesis and cross-links DNA at the N6 position of adenine and at the O6 and N2 positions of guanine. In addition, single-strand breakage of DNA is caused by reduced mitomycin; this can be prevented by free radical scavengers. Its action is most prominent during the late G1 and early S phases of the cell cycle.

In high concentrations ... /mitomycin/ may ... inhibit RNA and protein synthesis.

For more Mechanism of Action (Complete) data for MITOMYCIN C (11 total), please visit the HSDB record page."
MOMA-341,Mechanism of Action section not found
MP0317 + Gemcitabine + Cisplatine + Durvalumab,Drug not found in PubChem
MPH,Drug not found in PubChem
MPL-001,Drug not found in PubChem
MPL-005,Drug not found in PubChem
MPL-009,Drug not found in PubChem
MPT0B640,Drug not found in PubChem
MR001,Drug not found in PubChem
MRG003,Drug not found in PubChem
MRG003 + Pucotenlimab,Drug not found in PubChem
MRG007,Drug not found in PubChem
MRG003 in combination with pucotenlimab,Drug not found in PubChem
MSC11FCD,Drug not found in PubChem
MRI contrast-enhancing agents,Drug not found in PubChem
MT-401-OTS,Drug not found in PubChem
MT-125,Drug not found in PubChem
MT027 cells suspension,Drug not found in PubChem
MT-4561,Drug not found in PubChem
MaaT033,Drug not found in PubChem
Magnesiocard,Drug not found in PubChem
Magnesium Diasporal,Mechanism of Action section not found
MTX,"Methotrexate enters tissues and is converted to a methotrexate polyglutamate by folylpolyglutamate.  Methotrexate's mechanism of action is due to its inhibition of enzymes responsible for nucleotide synthesis including  dihydrofolate reductase, thymidylate synthase, aminoimidazole caboxamide ribonucleotide transformylase (AICART), and amido phosphoribosyltransferase. Inhibtion of nucleotide synthesis prevents cell division.  In rheumatoid arthritis, methotrexate polyglutamates inhibit AICART more than methotrexate. This inhibition leads to accumulation of AICART ribonucleotide, which inhibits adenosine deaminase, leading to an accumulation of adenosine triphosphate and adenosine in the extracellular space, stimulating adenosine receptors, leading to anti-inflammatory action.

Methotrexate and its polyglutanate metabolites reversibly inhibits dihydrofolate reductase, the enzyme that reduces folic acid to tetrahydrofolic acid. Inhibition of tetrahydrofolate formation limits the availability of one-carbon fragments necessary for synthesis of purines and the conversion of deoxyuridylate to thymidylate in the synthesis of DNA and cell reproduction. The affinity of dihydrofolate reductase for methotrexate is far greater than its affinity for folic acid or dihydrofolic acid. and, therefore, even very large doses of folic acid given simultaneously will not reverse the effects of methotrexate. Leucovorin calcium, a derivative of tetrahydrofolic acid, may block the effects of methotrexate if given shortly after the antineoplastic agent. Results of one study indicate that methotrexate also causes an increase in intracellular deoxyadenosine triphosphate, which is thought to inhibit ribonucleotide reduction, and polynucleotide ligase, an enzyme concerned in DNA synthesis and repair. Tissues with high rates of cellular proliferation such as neoplasms, psoriatic epidermis, bone marrow, the lining of the GI tract, hair matrix, and fetal cells are most sensitive to the effects of methotrexate.

Methotrexate ... has immunosuppressive activity, in part possibly as a result of inhibition of lymphocyte multiplication. The mechanism(s) of action in the management of rheumatoid arthritis of the drug is not known, although suggested mechanisms have included immunosuppressive and/or antiinflammatory effects."
Maintenance Therapy,Drug not found in PubChem
Maintenance Therapy Group,Drug not found in PubChem
Magnesium Sulfate,"Magnesium is the second most plentiful cation of the intracellular fluids. It is essential for the activity of many enzyme systems and plays an important role with regard to neurochemical transmission and muscular excitability. Magnesium sulfate reduces striated muscle contractions and blocks peripheral neuromuscular transmission by reducing acetylcholine release at the myoneural junction. Additionally, Magnesium inhibits Ca<sup>2+</sup> influx through dihydropyridine-sensitive, voltage-dependent channels. This accounts for much of its relaxant action on vascular smooth muscle.

CATHARTIC ACTION RESULTS FROM FACT THAT MGSO4 IS NOT ABSORBED FROM INTESTINAL TRACT, & THUS RETAINS SUFFICIENT WATER WITHIN LUMEN OF BOWEL TO MAKE AN ISOTONIC SOLN. IN EVENT...SALT IS GIVEN IN HYPERTONIC SOLN, SOURCE OF WATER WOULD BE BODY FLUIDS, &...DEHYDRATING ACTION IS EXERTED. /HEPTAHYDRATE, USP/

EXACT MECHANISM OF.../CNS/ DEPRESSANT ACTIVITY IS NOT FULLY KNOWN; HOWEVER, EXCESS MAGNESIUM APPEARS TO DECR AMT OF ACETYLCHOLINE LIBERATED BY MOTOR NERVE IMPULSE. /HEPTAHYDRATE INJECTION USP/

Isolated myometrial strips were obtained from humans undergoing elective cesarean section at term pregnancy and Wistar albino rats on gestational days 19-21. These strips were mounted in organ baths for recording of isometric tensions. The effect of magnesium sulfate, isradipine, and ritodrine on the amplitude and frequency of spontaneous contractions was compared. ... Ritodrine  (10-8-10-5 M) concentration-dependently inhibited the frequency and amplitude of spontaneous contractions of myometrial strips. At 10-4 M, tachyphylaxis of ritodrine occurred and contractions started again. Magnesium sulfate (10-7-10-4 M) inhibited the frequency but did not change the amplitude of the spontaneous contractions. Isradipine (10-7-10-4 M) had a concentration-related inhibitor effect on both the frequency and amplitude of the spontaneous contractions. The effects of magnesium sulfate, isradipine, and ritodrine were considerably similar in myometrium strips obtained from pregnant rats and humans. ..."
Maintenance treatment,Drug not found in PubChem
Maintenance treatment (after 3 months): fruquintinib+PD-1,Drug not found in PubChem
Maintenance treatment period,Drug not found in PubChem
Maintenance treatment-PD-1 monoclonal antibody,Drug not found in PubChem
Malic Acid,Mechanism of Action section not found
Mannitol,"Mannitol is an osmotic diuretic that is metabolically inert in humans and occurs naturally, as a sugar or sugar alcohol, in fruits and vegetables. Mannitol elevates blood plasma osmolality, resulting in enhanced flow of water from tissues, including the brain and cerebrospinal fluid, into interstitial fluid and plasma. As a result, cerebral edema, elevated intracranial pressure, and cerebrospinal fluid volume and pressure may be reduced. As a diurectic mannitol induces diuresis because it is not reabsorbed in the renal tubule, thereby increasing the osmolality of the glomerular filtrate, facilitating excretion of water, and inhibiting the renal tubular reabsorption of sodium, chloride, and other solutes. Mannitol promotes the urinary excretion of toxic materials and protects against nephrotoxicity by preventing the concentration of toxic substances in the tubular fluid. As an Antiglaucoma agent mannitol levates blood plasma osmolarity, resulting in enhanced flow of water from the eye into plasma and a consequent reduction in intraocular pressure. As a renal function diagnostic aid mannitol is freely filtered by the glomeruli with less than 10% tubular reabsorption. Therefore, its urinary excretion rate may serve as a measurement of glomerular filtration rate (GFR).  The exact mechanism of action of inhaled mannitol in the symptomatic maintenance treatment of cystic fibrosis remains unclear. It is hypothesized that mannitol produces an osmotic gradient across the airway epithelium that draws fluid into the extracellular space and alters the properties of the airway surface mucus layer, allowing easier mucociliary clearance.

MANNITOL IS.../USED/ IN PROPHYLAXIS OF ACUTE RENAL FAILURE. IT IS USED FOR THIS PURPOSE IN CONDITIONS AS DIVERSE AS CARDIOVASCULAR OPERATIONS, SEVERE TRAUMATIC INJURY, OPERATIONS IN THE PRESENCE OF SEVERE JAUNDICE, AND MGMNT OF HEMOLYTIC TRANSFUSION REACTIONS. IN EACH OF THESE CONDITIONS, A PRECIPITOUS FALL IN THE FLOW OF URINE MAY BE ANTICIPATED EITHER AS THE RESULT OF AN ACUTELY REDUCED FILTRATION RATE OR FROM ACUTE CHANGES IN TUBULAR PERMEABILITY. THE LATTER MAY BE CONSEQUENCE OF THE PRESENCE OF NOXIOUS AGENT WITHIN THE TUBULAR FLUID IN EXCESSIVELY HIGH CONCN, IN SOME INSTANCES SUFFICIENT TO RESULT IN ACTUAL PRECIPITATION. IN THESE SITUATIONS, MANNITOL EXERTS OSMOTIC EFFECT WITHIN THE TUBULAR FLUID, INHIBITS WATER REABSORPTION, & MAINTAINS THE RATE OF URINE FLOW. ...CONCN OF TOXIC AGENT WITHIN TUBULAR FLUID DOES NOT REACH EXCESSIVELY HIGH LEVELS THAT OTHERWISE WOULD HAVE BEEN ACHIEVED BY MORE COMPLETE REABSORPTION OF WATER.

...EVEN THOUGH /GLOMERULAR/ FILTRATION RATE IS REDUCED, MANNITOL IS STILL FILTERED @ GLOMERULUS. THE TUBULAR IMPERMEABILITY TO MANNITOL IS NOT ALTERED BY ACUTE RENAL ISCHEMIA OF SHORT DURATION. HENCE, THE MANNITOL THAT IS FILTERED IS ALSO EXCRETED IN THE VOIDED URINE. UNREABSORBED SOLUTE LIMITS BACK DIFFUSION OF WATER. ...URINE VOL CAN BE MAINTAINED EVEN IN PRESENCE OF DECR GLOMERULAR FILTRATION."
Marcaine®,Drug not found in PubChem
Matching Placebo,Drug not found in PubChem
Matching placebo,Drug not found in PubChem
Matching for Propranolol & Etodolac,Drug not found in PubChem
Matching placebo for visugromab,Drug not found in PubChem
Maximum Tolerated Dose,Drug not found in PubChem
Mecapegfilgrastim,Drug not found in PubChem
Medication optimization,Drug not found in PubChem
Medical therapy,Drug not found in PubChem
Medications,Drug not found in PubChem
Medium Dose DCSZ11,Drug not found in PubChem
Medium dose PD-1 mRNA LNP vaccines,Drug not found in PubChem
Medroxyprogesterone Acetate,"Medroxyprogesterone acetate (MPA) inhibits the production of gonadotropin, preventing follicular maturation and ovulation, which is responsible for it’s ability to prevent pregnancy. This action also thins the endometrium. MPA reduces nuclear estrogen receptors and DNA synthesis in epithelial cells of the endometrium. MPA can also induce p53 dependant apoptosis in certain cancer cell lines, and inhibit GABA-A receptors."
Medroxyprogesterone acetate,"Medroxyprogesterone acetate (MPA) inhibits the production of gonadotropin, preventing follicular maturation and ovulation, which is responsible for it’s ability to prevent pregnancy. This action also thins the endometrium. MPA reduces nuclear estrogen receptors and DNA synthesis in epithelial cells of the endometrium. MPA can also induce p53 dependant apoptosis in certain cancer cell lines, and inhibit GABA-A receptors."
Megestrol acetate/Medroxyprogesterone acetate,CID not found
Megestrol Acetate,"The precise mechanism by which megestrol acetate produces effects in anorexia and cachexia is unknown at the present time, but its progestin antitumour activity may involve suppression of luteinizing hormone by inhibition of pituitary function. Studies also suggest that the megestrol's weight gain effect is related to its appetite-stimulant or metabolic effects rather than its glucocorticoid-like effects or the production of edema. It has also been suggested that megestrol may alter metabolic pathyways via interferences with the production or action of mediators such as cachectin, a hormone that inhibits adipocyte lipogenic enzymes."
Mel,Drug not found in PubChem
Melflufen,"Melphalan flufenamide is a more lipophilic prodrug of melphalan, which allows it to be more readily uptaken by cells. It is likely taken up into malignant cells by passive diffusion, where it is hydrolyzed by aminopeptidase N. The expression of aminopeptidases, along with other hydrolytic enzymes, is upregulated in many malignant cells, making the hydrolysis reaction to melphalan more favourable in a malignant cell. Increased concentrations of free melphalan in malignant cells leads to rapid irreversible DNA damage and apoptosis, reducing the potential for the development of resistance.  Free melphalan is an nitrogen mustard derivative alkylating agent. Melphalan attaches alkyl groups to the N-7 position of guanine and N-3 position of adenine, leading to the formation of monoadducts, and DNA fragmenting when repair enzymes attempt to correct the error. It can also cause DNA cross-linking from the N-7 position of one guanine to the N-7 position of another, preventing DNA strands from separating for synthesis or transcription. Finally, melphalan can induce a number of different mutations. While melphalan induces phosphorylation of the DNA damage marker γ-H2AX in melphalan sensitive cells at 6 hours, melphalan flufenamide induces γ-H2AX at 2 hours. Melphalan flufenamide is also able to induce γ-H2AX in melphalan-resistant cells."
Meloxicam,"Meloxicam inhibits prostaglandin synthetase (cylooxygenase 1 and 2) enzymes leading to a decreased synthesis of prostaglandins, which normally mediate painful inflammatory symptoms. As prostaglandins sensitize neuronal pain receptors, inhibition of their synthesis leads to analgesic and inflammatory effects. Meloxicam preferentially inhibits COX-2, but also exerts some activity against COX-1, causing gastrointestinal irritation.

Meloxicam, an oxicam derivative that is structurally related to piroxicam, is a nonsteroidal anti-inflammatory agent (NSAIA) exhibiting analgesic, antipyretic, and anti-inflammatory actions. In vitro and in vivo studies indicate that meloxicam inhibits the cyclooxygenase-2 (COX-2) isoform of prostaglandin endoperoxide synthase (prostaglandin G/H synthase [PGHS]) to a greater extent than the COX-1 isoform. However, meloxicam's COX-2 selectivity is dose dependent and is diminished at higher dosages. Therefore meloxicam sometimes has been referred to as a ""preferential"" rather than ""selective"" COX-2 inhibitor.

To investigate the effect of meloxicam on human polymorphonuclear leukocyte (PMN) adhesion to human synovial cell (HSC), and to explore its mechanism. MTT colorimetry was used to determine the adhesion effect of PMN to HSC. Cell-ELISA and RT-PCR methods were used to determine the expression of ICAM-1 and VCAM-1. Nuclear transcription factor-kappa B (NF-kappa B) was measured by electrophoretic mobility shift assay (EMSA) method. Meloxicam was found to effectively inhibit TNF-alpha (50 u.mL-1 for 12 hr) and IL-1 beta (50 u.mL-1 for 12 hr)-induced adhesion of PMN to HSC (IC50 3.38 X 10(-7) mol.L-1 and 3.56 X 10(-6) mol.L-1, respectively) in a concentration-dependent manner. ICAM-1 protein and mRNA expression induced by TNF-alpha (50 u.mL-1) were inhibited by meloxicam at 1 X 10(-6)-1 X 10(-5) mol.L-1. The activation of NF-kappa B was also inhibited by meloxicam at 1 X 10(-6)-1 X 10(-5) mol.L-1. These results suggest that meloxicam inhibit TNF-alpha stimulated PMN-HSC adhesion and expression of ICAM-1 by suppressing the activity of NF-kappa B.

/Investigators/ compared the effects of therapeutically equivalent doses of meloxicam and indomethacin, a preferential inhibitor of the constitutive cyclooxygenase (COX-1), on platelet aggregation and platelet thromboxane formation, which are exclusively COX-1 dependent, physiological renal, and total body prostaglandin E2 (PGE2) production. In a randomized cross-over design, 14 healthy female volunteers received meloxicam 7.5 mg per day for 6 days or indomethacin 25 mg three times per day for 3 days; the wash-out period was 5 days, and drug intake was adapted to the menstrual cycle. On the day before treatment and on the last day of each treatment period the following parameters were evaluated: maximum platelet aggregation and thromboxane B2 (TXB2) formation in response to 1.0 mmol/L arachidonic acid; 24-hour urinary excretion of PGE2 and 7 alpha-hydroxy-5, 11-diketo-tetranor-prosta-1, 16-dionic acid (PGE-M), the index metabolites of renal and total body PGE2 synthesis, respectively, were assessed by gas chromatography/tandem mass spectrometry. Maximum platelet aggregation and TXB2 formation were almost completely inhibited by indomethacin (-87% and -99%, respectively; p < 0.001, each) as compared to control (100%), but remained unaffected by meloxicam (-1% and +4%, respectively). Meloxicam showed no significant effects on urinary PGE2 excretion (-13%) and only slight effects on PGE-M excretion (-22%; p < 0.05), whereas indomethacin reduced urinary PGE2 excretion (-43%; p < 0.05) as well as PGE-M excretion (-36%; p < 0.001). /This/ data shows, that meloxicam 7.5 mg per day is COX-1 sparing in humans in vivo."
Melphalan/HDS Followed by Consolidation Treatment with Trifluridine-tipiracil plus Bevacizumab,CID not found
Melphalan,"Melphalan is an alkylating agent of the bischloroethylamine type. It is believed to be taken up by tumour cells via a neutral amino acid active pathway shared by leucine. Melphalan binds at the N7 position of guanine and induces inter-strand cross-links in DNA, disrupting DNA synthesis or transcription. It can also cause DNA-protein cross-linking and induce lesions in RNA, proteins, and lipids. Melphalan is cytotoxic in resting and rapidly dividing tumour cells.

Melphalan, as an alkylating agent, interferes with DNA replication and transcription of RNA, and ultimately results in the disruption of nucleic acid function. Melphalan also possesses some immunosuppressive activity.

Melphalan is a direct-acting alkylating agent that is carcinogenic via genotoxic mechanism."
Memantine,"Continuous activation of the N-methyl-D-aspartate (NMDA) receptors in the central nervous system caused by _glutamate_ is thought to cause some of the Alzheimer's disease symptoms. This overactivation is thought to contribute to neurotoxicity due to the excitatory properties of glutamate. The pharmacological effect of memantine likely occurs via the drug's behavior as an uncompetitive (open-channel) NMDA receptor antagonist, preventing glutamate action on this receptor.  Memantine has a preference for the NMDA receptor-operated cation channels. Despite these antagonist effects, memantine has not been proven to prevent or retard the neurodegeneration seen in patients diagnosed with Alzheimer’s disease.

In addition to exhibiting antagonists activity at the NMDA receptor, memantine exhibits antagonist activity at the type 3 serotonergic (5-HT3) receptor with a potency that appears to be similar to that at the NMDA receptor. Memantine also blocks the nicotinic acetylcholine receptor with a potency of about one-sixth to one-tenth that at the NMDA receptor. Memantine exhibits little or no affinity for gamma-aminobutyric acid (GABA), benzodiazepine, dopamine, adrenergic, histamine, or glycine receptors or for voltage-dependent calcium, sodium, or potassium channels.

Memantine is a similar uncompetitive NMDA-receptor antagonist to MK-801 and phencyclidine (PCP), and it prevents nerve cell death induced by the ischemia which induces as excessive release of glutamate. These medicines act on an ion channel binding site similar to the magnesium ion binding site. However, MK-801 and PCP cause schizophrenic symptoms, so they are not being used as a therapeutic drug for Alzheimer's Disease. Memantine does not have those toxicities and does not stimulate acetylcholine release in the cerebral cortex. Although the mechanism of the difference from memantine and MK-801 has not been made clear yet, it seems that memantine is combined and released with the ion channel depending on electric potential in the same way as the magnesium ion.

As an uncompetitive inhibitor of the NMDA receptor, memantine, as with MK-801, does not block the binding of the neurotransmitter ,glutamate, to the receptor but rather blocks the ion current through the receptor channel that is activated by glutamate. ... Unlike such high affinity antagonist (MK-80), memantine blocks the NMDA receptor with relatively strong voltage dependence and rapid blocking/unblocking kinetics, dissociating from the NMDA receptors in response to membrane depolarization more readily than MK-801. ... Memantine is able to dissociate from the receptor in response to the strong, transient depolarizations that trigger physiological NMDA receptor activity, while blocking the receptor channels during the chronic, low level excitation that is thought to occur in neurodegenerative diseases such as Alzheimer's disease.

Memantine (Namenda) is prescribed as a treatment for moderate to severe Alzheimer's Disease. Memantine functions by blocking the NMDA receptor, but the key binding interactions between drug and receptor are not fully elucidated. To determine key binding interactions of memantine, we made side-by-side comparisons of IC(50) for memantine and amantadine, a structurally related drug, in the GluN1/GluN2B NMDA receptor. We identified hydrophobic binding pockets for the two methyl groups on memantine formed by the residues A645 and A644 on the third transmembrane helices of GluN1 and GluN2B, respectively. Moreover, we found that while adding two methyl groups to amantadine to produce memantine greatly improves affinity, adding a third methyl group to produce the symmetrical trimethylamantadine diminished affinity. Our results provide a better understanding of chemical-scale interactions between memantine and the NMDA channel, which will potentially benefit the development of new drugs for neurodegenerative diseases involving NMDA receptors."
Memantine Hydrochloride,Mechanism of Action section not found
Mercaptopurine,"Mercaptopurine competes with hypoxanthine and guanine for the enzyme hypoxanthine-guanine phosphoribosyltransferase (HGPRTase) and is itself converted to thioinosinic acid (TIMP). TIMP inhibits several reactions that involve inosinic acid (IMP), such as the conversion of IMP to xanthylic acid (XMP) and the conversion of IMP to adenylic acid (AMP) via adenylosuccinate (SAMP). Upon methylation, TIMP forms 6-methylthioinosinate (MTIMP) which inhibits glutamine-5-phosphoribosylpyrophosphate amidotransferase in addition to TIMP. Glutamine-5-phosphoribosylpyrophosphate amidotransferase is the first enzyme unique to the _de novo_ pathway for purine ribonucleotide synthesis. According to experimental findings using radiolabeled mercaptopurine, mercaptopurine may be recovered from the DNA in the form of deoxythioguanosine. In comparison, some mercaptopurine may be converted to nucleotide derivatives of 6-thioguanine (6-TG) via actions of inosinate (IMP) dehydrogenase and xanthylate (XMP) aminase that convert TIMP to thioguanylic acid (TGMP).

The pathogenesis of several neurodegenerative diseases often involves the microglial activation and associated inflammatory processes. Activated microglia release pro-inflammatory factors that may be neurotoxic. 6-Mercaptopurine (6-MP) is a well-established immunosuppressive drug. Common understanding of their immunosuppressive properties is largely limited to peripheral immune cells. However, the effect of 6-MP in the central nervous system, especially in microglia in the context of neuroinflammation is, as yet, unclear. Tumor necrosis factor-alpha (TNF-a) is a key cytokine of the immune system that initiates and promotes neuroinflammation. The present study aimed to investigate the effect of 6-MP on TNF-a production by microglia to discern the molecular mechanisms of this modulation. Lipopolysaccharide (LPS) was used to induce an inflammatory response in cultured primary microglia or murine BV-2 microglial cells. Released TNF-a was measured by enzyme-linked immunosorbent assay (ELISA). Gene expression was determined by real-time reverse transcription polymerase chain reaction (RT-PCR). Signaling molecules were analyzed by western blotting, and activation of NF-kB was measured by ELISA-based DNA binding analysis and luciferase reporter assay. Chromatin immunoprecipitation (ChIP) analysis was performed to examine NF-kB p65 and coactivator p300 enrichments and histone modifications at the endogenous TNF-a promoter. Treatment of LPS-activated microglia with 6-MP significantly attenuated TNF-a production. In 6-MP pretreated microglia, LPS-induced MAPK signaling, I?B-a degradation, NF-kB p65 nuclear translocation, and in vitro p65 DNA binding activity were not impaired. However, 6-MP suppressed transactivation activity of NF-?B and TNF-a promoter by inhibiting phosphorylation and acetylation of p65 on Ser276 and Lys310, respectively. ChIP analyses revealed that 6-MP dampened LPS-induced histone H3 acetylation of chromatin surrounding the TNF-a promoter, ultimately leading to a decrease in p65/coactivator-mediated transcription of TNF-a gene. Furthermore, 6-MP enhanced orphan nuclear receptor Nur77 expression. Using RNA interference approach, we further demonstrated that Nur77 upregulation contribute to 6-MP-mediated inhibitory effect on TNF-a production. Additionally, 6-MP also impeded TNF-a mRNA translation through prevention of LPS-activated PI3K/Akt/mTOR signaling cascades. These results suggest that 6-MP might have a therapeutic potential in neuroinflammation-related neurodegenerative disorders through downregulation of microglia-mediated inflammatory processes.

Mercaptopurine (6-MP) competes with hypoxanthine and guanine for the enzyme hyphoxanthine-guanine phosphoribosyltransferase (HGPRTase) and is itself converted to thioinosinic acid (TIMP). This intracellular nucleotide inhibits several reactions involving inosinic acid (IMP), including the conversion of IMP to xanthylic acid (XMP) and the conversion of IMP to adenylic acid (AMP) via adenylosuccinate (SAMP). In addition, 6-methylthioinosinate (MTIMP) is formed by the methylation of TIMP. Both TIMP and MTIMP have been reported to inhibit glutamine-5-phosphoribosylpyrophosphate amidotransferase, the first enzyme unique to the de novo pathway for purine ribonucleotide synthesis. Experiments indicate that radiolabeled mercaptopurine may be recovered from the DNA in the form of deoxythioguanosine. Some mercaptopurine is converted to nucleotide derivatives of 6-thioguanine (6-TG) by the sequential actions of inosinate (IMP) dehydrogenase and xanthylate (XMP) aminase, converting TIMP to thioguanylic acid (TGMP). Animal tumors that are resistant to mercaptopurine often have lost the ability to convert mercaptopurine to TIMP. However, it is clear that resistance to mercaptopurine may be acquired by other means as well, particularly in human leukemias. It is not known exactly which of any one or more of the biochemical effects of mercaptopurine and its metabolites are directly or predominantly responsible for cell death.

Inflammatory bowel disease is characterized by chronic intestinal inflammation. Azathioprine and its metabolite 6-mercaptopurine (6-MP) are effective immunosuppressive drugs that are widely used in patients with inflammatory bowel disease. ... Azathioprine and 6-MP have been shown to affect small GTPase Rac1 in T cells and endothelial cells, whereas the effect on macrophages and gut epithelial cells is unknown. Macrophages (RAW cells) and gut epithelial cells (Caco-2 cells) were activated by cytokines and the effect on Rac1 signaling was assessed in the presence or absence of 6-MP.   Rac1 is activated in macrophages and epithelial cells, and treatment with 6-MP resulted in Rac1 inhibition. In macrophages, interferon-gamma induced downstream signaling through c-Jun-N-terminal Kinase (JNK) resulting in inducible nitric oxide synthase (iNOS) expression. iNOS expression was reduced by 6-MP in a Rac1-dependent manner. In epithelial cells, 6-MP efficiently inhibited tumor necrosis factor-a-induced expression of the chemokines CCL2 and interleukin-8, although only interleukin-8 expression was inhibited in a Rac1-dependent manner. In addition, activation of the transcription factor STAT3 was suppressed in a Rac1-dependent fashion by 6-MP, resulting in reduced proliferation of the epithelial cells due to diminished cyclin D1 expression. These data demonstrate that 6-MP affects macrophages and gut epithelial cells beneficially, in addition to T cells and endothelial cells. Furthermore, mechanistic insight is provided to support development of Rac1-specific inhibitors for clinical use in inflammatory bowel disease."
Mesna,Mechanism of Action section not found
Metabolically Armed BCMA CAR-T cells,Drug not found in PubChem
Metabolically Armed EGFRvIII CAR-T cells,Drug not found in PubChem
Metabolically Armed TIL cells,Drug not found in PubChem
